run,it,env,accepted,m,I_zz,mu,cost,res_ncp,res_tol,res_pass,gate,last_cand_res,m_true,I_zz_true,mu_true,rel_m,rel_I,rel_mu,theta_sha256
series_win7_int64_gate,0,36,0,5.0,0.08031087867911112,0.4,8562.628954177871,3.5184613694783096e-09,1e-05,1,residual,3.75369852075938e-05,2.507316024312086,0.04027295060774383,0.2833794578627076,0.9941642583215307,0.9941642583215308,0.4115349186453489,130a84e7e916e2b42538a38f78473b885c4e0dd76c40ee79d712d7a24824b42e
series_win7_int64_gate,0,37,0,5.0,0.07812310722049927,0.4,7983.517690022853,3.505698370487309e-09,1e-05,1,residual,3.4023934536470124e-05,2.7606918980411512,0.0431347658306865,0.2605392393613692,0.8111401723414879,0.8111401723414879,0.5352773769527978,130a84e7e916e2b42538a38f78473b885c4e0dd76c40ee79d712d7a24824b42e
series_win7_int64_gate,0,38,1,7.762372162119662,0.1368767135038863,0.1509867466340742,2030.1752842544981,2.5089708088898988e-11,1e-05,1,residual,2.5070973075358438e-11,7.722349518094632,0.1541944812188371,0.231102854340336,0.005182703001366385,0.11231120321597597,0.3466686204934449,130a84e7e916e2b42538a38f78473b885c4e0dd76c40ee79d712d7a24824b42e
series_win7_int64_gate,0,39,1,5.639049004670042,0.07047107767694948,0.28986738760465774,1604.907806208279,2.651362462913198e-10,1e-05,1,residual,2.6511624839908876e-10,5.509567699876662,0.06979918281220308,0.30562941494126494,0.02350117320389377,0.0096261136259166,0.05157235058554918,130a84e7e916e2b42538a38f78473b885c4e0dd76c40ee79d712d7a24824b42e
series_win7_int64_gate,0,40,1,5.350628994309396,0.09810929201347246,0.30683402384916614,1691.0067697270006,6.399006602375579e-10,1e-05,1,residual,6.382277206729015e-10,5.445956081392742,0.10296424252062854,0.2940665168354542,0.01750419681294367,0.04715181103948203,0.04341707159015329,130a84e7e916e2b42538a38f78473b885c4e0dd76c40ee79d712d7a24824b42e
series_win7_int64_gate,0,41,1,4.590301980379713,0.06321914159495917,0.4554993094982556,1615.596605964826,7.2734270273322466e-09,1e-05,1,residual,7.274596758310992e-09,4.4531909644451115,0.0675965068134128,0.4706783803103183,0.030789386089506238,0.06475726964022716,0.032249347849916316,130a84e7e916e2b42538a38f78473b885c4e0dd76c40ee79d712d7a24824b42e
series_win7_int64_gate,0,42,1,7.608053018224021,0.11504113420400071,0.15437299147258204,1936.6058576807575,3.3730045666258146e-12,1e-05,1,residual,3.372965101666736e-12,7.478484552592423,0.11540053832540341,0.24705852606476625,0.01732549752833053,0.003114405934478943,0.37515618695096864,130a84e7e916e2b42538a38f78473b885c4e0dd76c40ee79d712d7a24824b42e
series_win7_int64_gate,0,43,1,3.644001592214961,0.07105418235915474,0.3333451852083283,1576.7970474084557,6.63196512706854e-08,1e-05,1,residual,6.633988326731899e-08,3.578326899148464,0.0658223595917612,0.351469067370809,0.01835346376043109,0.07948397474417472,0.051566080332638674,130a84e7e916e2b42538a38f78473b885c4e0dd76c40ee79d712d7a24824b42e
series_win7_int64_gate,0,44,1,5.4944760085362025,0.06751066027805418,0.5644484786379891,1633.9275645225316,8.964306796865884e-10,1e-05,1,residual,9.045634519200263e-10,5.38911647441996,0.07194797850978223,0.553572687461874,0.019550428092683377,0.0616739806125997,0.019646545832997006,130a84e7e916e2b42538a38f78473b885c4e0dd76c40ee79d712d7a24824b42e
series_win7_int64_gate,0,45,0,5.0,0.062401115897872374,0.4,5235.452465057257,1.046855074848807e-08,1e-05,1,residual,0.0008753858772844042,2.435977010148009,0.030401536746959706,0.5537136735337367,1.0525645271570943,1.0525645271570945,0.27760498048161564,130a84e7e916e2b42538a38f78473b885c4e0dd76c40ee79d712d7a24824b42e
