rep,index,scene,n_c,solver,iterations,converged,residual,seconds,normal_gap_m,outside_coulomb_fraction,tangential_relative_deviation_from_exact,solution_sha256
2,4,three_body_column_separating,3,pgs,5000,False,4.56273458553369e-05,1.1035558390431106,0.00041780301233985403,0.0,0.0,32e76a57b80df7247256c3beb3a866f74018c70ae1dcc1ca115a9246607b351b
2,4,three_body_column_separating,3,admm,35,True,7.668177204323001e-11,0.00374343094881624,0.0004177078125326405,0.0,0.0,5d782ca4acebbfd6e050bb837752d83b79e3a9daa144f10df9b5846311dae048
2,5,eight_box_tower_mass_imbalance,32,apgd,5000,False,2.627224925788596e-05,0.36138587503228337,3.281364608608528e-08,0.0,7.842912004144485,dd2e71f66983ebec3118f1ec53641fbb75f3127774af10d16dbdece1b631851b
2,5,eight_box_tower_mass_imbalance,32,pgs,4500,False,0.0021659681441050793,10.762727890978567,0.0,0.0,41.78965610938209,d65e2d64bec1e3705c3fb4d47296532ccb7130398c50cbb364086724aeb8defe
2,5,eight_box_tower_mass_imbalance,32,admm,2,True,4.170885858911788e-12,0.0017658399883657694,8.210371040447602e-14,0.0,0.0,2f9747463cfe6f33773ec96904673e78cdc60a30129ddac9f165d2f9f6f27f6e
2,6,lattice,64,apgd,576,True,6.206488448179392e-11,0.06542431202251464,5.497775300466219e-20,0.0,0.997968155605039,70548fa6a7091ca0c1418e4dc5bf606a78b6d385c2f84460dae6519848e457a7
2,6,lattice,64,pgs,261,True,9.881346782480982e-11,1.274848572909832,5.314010723528318e-12,0.0,74211330048.82707,ab9f9c8d9eff248e1a3ac5c7d753e2ae70a39e7714376f067edf4c782a150c60
2,6,lattice,64,admm,3,True,1.085208312101571e-13,0.0035842200741171837,1.2754696540848402e-15,0.0,0.0,09b4c197816aa3752babb1900f2f7d23973116afa1de8c4943fecb8a830ea37c
2,7,random_contact_graph_256,256,apgd,3079,True,8.26289314748152e-11,0.5386521149193868,0.0015169019240848238,0.0,1.3634689878306432,b3446635169325c03335f7bf84058bc9c08c35496c07cc1c7de040c41b62549e
2,7,random_contact_graph_256,256,pgs,644,True,9.92338711203189e-11,11.744844697066583,0.0015169019238081122,0.0,1.3634689864750142,16805b5518816e0b404f6813c587d5c4aa37acefc3a90c48f059bad1a6db1506
