run,it,state,cost_sum,cost_p50,res_max,res_p95,grad_norm,H_sha256,digest,n_slip,res_pass,ms_forward,ms_adjoint,ms_total,chunk,n_calls,n_iter,cg,grad_cg,theta_sha256
series_std_int64_gate,1,prev_theta,276820.3566848477,1655.8810044408242,1.3494282889436882e-06,1.820757129039616e-07,3460.248321390057,423c4eb7a9f313e941456ab2adac75bc9cc1b2e40771f422834f0f60da66dfd7,40872cacc61f76b7facf657ae1ba8e3899a2d51d3de61a6d931785833167927d,-1,1,1107.0818769512698,1050.9535929886624,2192.839015973732,1024,7,300,4,60,dd1d0a3738d662c9f72ba6faf044645891e8e21f26396c2899071185104bf2eb
series_std_int64_gate,1,accepted,209323.63800757303,1627.8385563714032,2.157526931806375e-06,3.214624992451526e-07,876.4149473778164,c04c975601a1107db7459688e341c51a13407c2a10866fc569f648c943f0235b,574d3713d28b34b78b4ae887a88ac04713bc3c1955ad3f12ac1e3acafc529d2c,-1,1,1104.5336079550907,1054.103682981804,2195.956196053885,1024,7,300,4,60,9eb9cba5218abec8baab1c3ec18220bc3538d130eb9dde458eec26999fc3b4ca
series_std_int64_gate,2,prev_theta,209323.63800757303,1627.8385563714032,2.157526931806375e-06,3.214624992451526e-07,876.4149473778164,c04c975601a1107db7459688e341c51a13407c2a10866fc569f648c943f0235b,574d3713d28b34b78b4ae887a88ac04713bc3c1955ad3f12ac1e3acafc529d2c,-1,1,1105.150425923057,1054.1576130781323,2194.107165094465,1024,7,300,4,60,9eb9cba5218abec8baab1c3ec18220bc3538d130eb9dde458eec26999fc3b4ca
series_std_int64_gate,2,accepted,205224.06459300406,1606.950578974731,2.4149547609847444e-06,8.556865519079856e-07,146.31434533160024,3915eb3c45c51d08c286596e56ea8f2e0c2782b88b3b13d78236698904e87aeb,185add868e57cd6c3574123d09d8436eee4c022152c7317b5c95f91a37371e02,-1,1,1104.5824120519683,1066.7070919880643,2219.5303589105606,1024,7,300,4,60,8ef1686df1dda1bd046913b2c292faca27aaae3c9dc83b0186bb3fb218621836
series_std_int64_gate,3,prev_theta,205224.06459300406,1606.950578974731,2.4149547609847444e-06,8.556865519079856e-07,146.31434533160024,3915eb3c45c51d08c286596e56ea8f2e0c2782b88b3b13d78236698904e87aeb,185add868e57cd6c3574123d09d8436eee4c022152c7317b5c95f91a37371e02,-1,1,1104.4095950201154,1053.0388680053875,2192.3595879925415,1024,7,300,4,60,8ef1686df1dda1bd046913b2c292faca27aaae3c9dc83b0186bb3fb218621836
series_std_int64_gate,3,accepted,204942.67142713213,1605.4849367143538,2.3713824671145467e-06,1.3777620104711892e-06,40.410095298398794,d5c4a1b940cdb09cc1c703c9d06d2a7783834c505634b95438da5882bbd32ef8,c13b787737b2380d3973e82a933012b2a7a4e2d559128e2084bd4fb708d1d659,-1,1,1103.1960709951818,1057.879892992787,2208.1772930687293,1024,7,300,4,60,e0f6be370effa7039033bfe70193015364c145f6be9f1d9edd8e74ab763e6c97
series_std_int64_p0,0,initial,477544.08483498334,2912.5321056738394,4.5140086113448774e-11,3.625339750623623e-11,9145.419118717055,5f82cebf719ada2a47d0a4f4f4f5b653c9913e956055754236dd615c90b9d7e3,eaac3cbb9f3ca157c2c9cdc0ad1fc2258ca8a1c4126c0e2ba8335d3e912e6f32,-1,1,1751.715856953524,1383.2677949685603,3188.947355025448,1024,7,300,4,60,020bd156497d059e9ae53f0708d8e5877767869e618ec33a0173cb91f7319ce3
series_std_int64_p0,0,prev_theta,477544.08483498334,2912.5321056738394,4.5140086113448774e-11,3.625339750623623e-11,9145.419118717055,5f82cebf719ada2a47d0a4f4f4f5b653c9913e956055754236dd615c90b9d7e3,eaac3cbb9f3ca157c2c9cdc0ad1fc2258ca8a1c4126c0e2ba8335d3e912e6f32,-1,1,1164.6051480202004,1067.3499340191483,2284.304133965634,1024,7,300,4,60,020bd156497d059e9ae53f0708d8e5877767869e618ec33a0173cb91f7319ce3
series_std_int64_p0,0,accepted,277855.4104790555,1662.5902329644864,0.02784524756722012,0.00013957648790788844,13568.435790535324,790db881c8378a27a1a6a3fee83129f976f7c6992c501d6f5a5db23a9f92121e,2897f1e0bbf64e125f9a92abb50e81b9a2af098436246a24615a72b4e1d06220,-1,0,1108.2431980175897,1070.1692210277542,2225.6476279580966,1024,7,300,4,60,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,1,prev_theta,277855.4104790555,1662.5902329644864,0.02784524756722012,0.00013957648790788844,13568.435790535324,790db881c8378a27a1a6a3fee83129f976f7c6992c501d6f5a5db23a9f92121e,2897f1e0bbf64e125f9a92abb50e81b9a2af098436246a24615a72b4e1d06220,-1,0,1099.8505449388176,1063.2294989190996,2201.699618017301,1024,7,300,4,60,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
