x_m,y_m,static_radius_m_s2,status
0.0,-0.08,0.9558775570547539,feasible
0.02,-0.08,1.0509689244200189,feasible
0.04,-0.08,1.0366670239112705,feasible
0.06,-0.08,1.022365123402528,feasible
0.08,-0.08,0.9824934345442132,feasible
0.1,-0.08,0.93221167043219,feasible
0.12,-0.08,0.8855668400788316,feasible
0.14,-0.08,0.8421781211658892,feasible
0.16,-0.08,0.8017160659668587,feasible
0.18,-0.08,0.7638942206736994,feasible
0.2,-0.08,0.7284623334448981,feasible
-0.2,-0.06,0.6153268653506068,feasible
-0.18,-0.06,0.6489687050898716,feasible
-0.16,-0.06,0.6850205409372101,feasible
-0.14,-0.06,0.7237509601352864,feasible
-0.12,-0.06,0.7654700008390056,feasible
-0.1,-0.06,0.8105374693844943,feasible
-0.08,-0.06,0.8593733439533345,feasible
-0.06,-0.06,0.9092409249610278,feasible
-0.04,-0.06,0.9247864689922699,feasible
-0.02,-0.06,0.9403320130235117,feasible
0.0,-0.06,0.9558775570547523,feasible
0.02,-0.06,1.0497252808975153,feasible
0.04,-0.06,1.0341797368662717,feasible
0.06,-0.06,1.0186341928350298,feasible
0.08,-0.06,0.9645654042737646,feasible
0.1,-0.06,0.9115080996627806,feasible
0.12,-0.06,0.8625449464933469,feasible
0.14,-0.06,0.8172196631797193,feasible
0.16,-0.06,0.7751413413056559,feasible
0.18,-0.06,0.735973142655914,feasible
0.2,-0.06,0.6994232629930591,feasible
-0.2,-0.04,0.5853133228667077,feasible
-0.18,-0.04,0.6199944945687614,feasible
-0.16,-0.04,0.6573244454022162,feasible
-0.14,-0.04,0.6976186748144485,feasible
-0.12,-0.04,0.7412448599570414,feasible
-0.1,-0.04,0.7886341074117482,feasible
-0.08,-0.04,0.8402952477692883,feasible
-0.06,-0.04,0.8968331784151151,feasible
-0.04,-0.04,0.9218254129863186,feasible
-0.02,-0.04,0.9388514850205366,feasible
0.0,-0.04,0.9558775570547532,feasible
0.02,-0.04,1.0482447528945398,feasible
0.04,-0.04,1.0312186808603203,feasible
0.06,-0.04,1.0052633105827449,feasible
0.08,-0.04,0.9438381751707113,feasible
0.1,-0.04,0.8877113854959365,feasible
0.12,-0.04,0.8362257561364672,feasible
0.14,-0.04,0.7888284725909595,feasible
0.16,-0.04,0.7450511629211558,feasible
0.18,-0.04,0.7044943675330194,feasible
0.2,-0.04,0.6668153148384527,feasible
-0.2,-0.02,0.5438449717541378,feasible
-0.18,-0.02,0.5870771825218627,feasible
-0.16,-0.02,0.6257050573337746,feasible
-0.14,-0.02,0.6676267907527867,feasible
-0.12,-0.02,0.7132824541876018,feasible
-0.1,-0.02,0.7631941664988113,feasible
-0.08,-0.02,0.8179861501042771,feasible
-0.06,-0.02,0.8784109726322434,feasible
-0.04,-0.02,0.9182409767685903,feasible
-0.02,-0.02,0.9370592669116716,feasible
0.0,-0.02,0.9558775570547542,feasible
0.02,-0.02,1.0464525347856743,feasible
0.04,-0.02,1.0276342446425901,feasible
0.06,-0.02,0.9852486678133003,feasible
