scene,index,unit,a,c,stop,tol_used,cap,iterations,converged,residual,residual_hat,lam_ref,g_ref,rel_phys_vs_unit0,n_chol,positive_spectrum_ratio
cube,0,SI,1.0,1.0,dimensionless,2.6754545454545453e-12,30000,76,True,1.3971324097639126e-12,5.222037549236507e-11,0.02675454545454545,1.466666666666667,0.0,1,8.54970354689119
cube,0,Lp3,1000.0,1.0,dimensionless,2.6754545454545453e-15,30000,76,True,1.3971571295734453e-15,5.2221299440393816e-11,2.675454545454545e-05,1.466666666666667,1.3832204407135254e-15,1,8.54970354689119
cube,0,Lm3,0.001,1.0,dimensionless,2.675454545454545e-09,30000,76,True,1.3971259704703698e-09,5.2220134812008396e-11,26.75454545454545,1.466666666666667,1.7604623790899412e-15,1,8.54970354689119
cube,0,Mp3,1.0,1000.0,dimensionless,2.6754545454545457e-15,30000,76,True,1.397102919464821e-15,5.221927323857639e-11,2.6754545454545455e-05,1466.6666666666667,5.029892511685547e-15,1,8.54970354689119
cube,0,Mm3,1.0,0.001,dimensionless,2.6754545454545454e-09,30000,76,True,1.3971259704703698e-09,5.222013481200838e-11,26.754545454545454,0.001466666666666667,7.54483876752832e-16,1,8.54970354689119
eight_box_tower,1,SI,1.0,1.0,absolute,1e-10,30000,48,True,9.963245506394713e-11,1.7265563058991863e-07,0.0005770588235294116,68.00000000000003,0.0,1,19878.442611257917
eight_box_tower,1,Lp3,1000.0,1.0,absolute,1e-10,30000,29,True,7.201962375807166e-11,0.00012480464871429344,5.770588235294116e-07,68.00000000000003,3.7002218490216116e-05,1,19878.442611257917
eight_box_tower,1,Lm3,0.001,1.0,absolute,1e-10,30000,68,True,9.748646334628575e-11,1.6893678663474602e-10,0.5770588235294115,68.00000000000003,5.1209894088844915e-08,1,19878.442611257917
eight_box_tower,1,Mp3,1.0,1000.0,absolute,1e-10,30000,29,True,7.201962375807166e-11,0.00012480464871429344,5.770588235294116e-07,68000.00000000003,3.700221850011872e-05,1,19878.442611257917
eight_box_tower,1,Mm3,1.0,0.001,absolute,1e-10,30000,68,True,9.748646334628575e-11,1.68936786634746e-10,0.5770588235294116,0.06800000000000002,5.1209944309180534e-08,1,19878.442611257917
